attack_cat,id,dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
Analysis,78917.14979454613,1.41694182405678,5.354874859917818,2.1232723197609262,839.6451251400822,296.18453492715724,147808.32133118677,210.03660814344414,58.73141576391483,117520373.84270161,2530.4809479368696,0.4882330967500934,0.4919686215913336,153.6931517680239,145.30254034927157,11397.988047063503,381.47955103025777,59.24915950691072,503546106.6413896,495527397.52558833,59.24915950691072,0.03726418266716473,0.019641325737766155,0.01762285692939858,98.23907358983938,33.12663429211804,0.2080687336570788,39.02353380649981,6.272693313410534,1.7923048188270452,3.0328726186029136,2.673888681359731,2.613746731415764,5.056406425102727,0.0,0.0,1.2420620097123647,4.955547254389241,6.0877848337691445,0.0,1.0
Backdoor,82515.81837698583,2.2245579819665093,6.76728209531988,1.458995276942894,1520.861743237441,295.29411764705884,149210.04922284588,247.83512237011593,36.57191927866037,120396989.27221003,2573.6068387509663,0.32717904680120224,0.3598110777157578,86.64514395105195,15.812873485616144,904.6962120966081,44.72222642893946,35.36496350364963,307806126.955775,295201101.03649634,35.36496350364963,0.017741238299699442,0.0084039583512237,0.00933727994847574,103.25203950193216,17.838557320738513,0.0364963503649635,11.687419493344784,6.127522541863461,1.8909403177329327,2.8965221124946328,2.5573207385143837,2.5465865178188065,4.774581365392873,0.0,0.0,0.045942464577071705,4.760841562902534,5.842851009016745,0.0,1.0
DoS,77555.60355898,2.448794830184064,24.117348498746406,21.25230844493365,18360.79379930288,21747.133736929005,146165.89702260165,230.86100409710755,52.74493976640372,123352343.29081316,17008.24922353709,7.803277686051489,8.477588210114352,79.33470520571149,19.032699864367395,942.9871920261726,118.60849209729102,52.01981287837094,435624352.4774048,432528138.967162,52.01981287837094,0.0233897319146334,0.011045267840763163,0.012344464073870237,139.1059132880817,48.46847673209808,0.09808597810799241,3674.2330459242953,4.543998043172507,1.8318351372836787,2.4437106341344097,2.1237693389592125,2.098024827248823,4.686724148474286,0.0014064697609001407,0.0014064697609001407,0.10652479667339326,4.299944964226747,4.404696385984223,0.0,1.0
Exploits,78365.70324536777,2.1229017681527234,33.96202133632791,23.375856260527794,29655.004065131947,17748.041909039865,67962.7101520135,172.2061987647389,156.7560920830994,61165712.051133096,58910.43956452656,12.839236384053903,8.644020213363278,89.51289401084784,58.650719780640095,3606.613105327614,1009.4590531319932,157.16934306569343,1326783600.1978438,1329088783.9404829,157.15788882650196,0.07419380667040988,0.035409496080853455,0.03878431058955643,188.7129702414374,180.26308815272318,0.2511622683885458,2566.384188658057,2.9270746771476697,1.4069174620999438,1.9973722627737227,1.551106120157215,1.5099157776530039,2.914564851207187,0.040875912408759124,0.040875912408759124,0.2549354295339697,3.2803368893879843,2.6975856260527795,0.0,1.0
Fuzzers,81532.68617503918,2.673937526189887,13.764827187989772,6.095685886331766,6764.302647859441,518.7721273612142,67276.15111590357,253.4079435783222,160.90027220984905,127693039.4914064,3221.34467569661,3.863647611977233,1.1526437350490804,410.9508960930875,318.40763850812505,21597.823269208817,846.0693927079519,162.74313288789904,1368714450.2189639,1365963145.9114082,162.74313288789904,0.098787878949105,0.05217041817206962,0.04661746077703539,238.82619813577497,38.8316010888394,0.048461601913717726,2.7342242019302154,6.124556627897385,1.4212241194423822,2.5273447166542935,2.1335478016992493,1.4163985812092716,4.41297533613792,0.00585663614616844,0.00585663614616844,0.06330941186175039,3.376556957848717,5.43669058813825,0.0,1.0
Generic,111598.94532112585,0.061156849994054796,2.5767695469755907,1.1599259397666084,446.28897080056396,1319.713984814255,209833.20081306956,252.48597781590257,4.348015151772519,98488837.81565595,3441.1467235421173,0.1553056683256612,0.5230588914745801,2.63151571418865,1.705134803995176,119.57307666898812,32.41149135635542,4.357493502743286,37508233.655212246,36343696.36984254,4.357493502743286,0.002061324166397717,0.000985943265784512,0.001075380900613205,61.956871804453804,7.6266582867625825,0.007626845135975268,461.69456948242765,24.663195800988603,1.9836931596201866,17.13733417132374,16.928147984576448,12.991931511270405,24.004892052113945,0.0,0.0,0.008051502437532911,17.28723819877359,24.6513903280053,0.0,1.0
Normal,40870.198161290326,1.0154067355376344,27.563172043010752,33.02793548387097,4092.444376344086,26138.19735483871,19588.290163112935,94.8900752688172,81.84867741935484,29768115.01987971,1788697.3669035465,4.729784946236559,12.17183870967742,2344.1957563011397,142.78789777998924,6491.78481419143,837.5593299383441,183.594311827957,1491325398.3014624,1480589396.1900969,176.67578494623655,0.04908785270967742,0.026751355806451615,0.022336496903225804,145.41266666666667,221.43098924731183,0.10011827956989247,3218.9432150537637,5.829548387096774,0.6957204301075269,3.431655913978495,1.7793763440860215,1.1485806451612903,3.8893548387096772,0.014172043010752687,0.014258064516129033,0.14310752688172043,3.978978494623656,5.5350430107526885,0.03954838709677419,0.0
Reconnaissance,79915.18045327804,1.0050459252162722,7.034603560448988,4.983770644169586,751.3812826195754,1797.0892257095875,99718.72648499029,253.01515693143634,125.68227639951384,70491429.99322137,2425.5741590299563,0.9982126260098663,1.1012368628011726,69.95734146836348,67.36750522878387,3509.4765943729894,107.36244617702152,126.98041038106814,1066814898.1938229,1079444583.915064,126.98041038106814,0.060022070780010005,0.028554239937084433,0.03146783084292557,79.10116536784157,24.09022663902195,0.1323371702294988,30.86272967755773,2.5555158361335524,1.5156216486737686,1.6675484378351326,1.2413669836276542,1.2116250804318296,2.100307428326303,0.0,0.0,0.14406234360477585,2.7050117966683347,1.9854865232001144,0.0,1.0
Shellcode,80381.98411647916,0.3628556048974189,5.9649238914626075,3.2892124420913302,532.8352084712111,146.39973527465256,99145.57813347453,254.0,125.08272667107876,130465101.61583921,2374.147170160159,0.9920582395764395,0.49636002647253474,39.11035376042356,54.55378577829252,2348.0624848107213,88.42109472998014,126.57180675049636,1077551222.2256784,1080764493.0132363,126.57180675049636,0.06177921773659828,0.02944931833223031,0.03232989940436797,122.73990734612839,22.18133686300463,0.0,0.0,2.3103904698874915,1.5056254136333553,1.585704831237591,1.0,1.0,1.3534083388484448,0.0,0.0,0.0,2.342819324950364,1.5684976836532099,0.0,1.0
Worms,79072.18965517242,1.3333049597701148,18.2183908045977,62.93103448275862,2255.7758620689656,76965.46551724138,20873.619227074712,249.58620689655172,221.58620689655172,72698643.02033302,132759.35174734483,2.0114942528735633,29.477011494252874,71.8844779137931,85.6692690632184,4197.431018063218,397.33175709770114,224.22413793103448,2007979765.6494253,1808773235.8505747,224.22413793103448,0.12136100000000001,0.059383074712643674,0.06197792528735633,183.26436781609195,245.69540229885058,0.7471264367816092,33377.097701149425,1.528735632183908,1.1091954022988506,1.4252873563218391,1.0977011494252873,1.0344827586206897,1.2241379310344827,0.0,0.0,0.896551724137931,2.6149425287356323,1.339080459770115,0.0,1.0
